,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1811,2021-08-20 01:30:23,27.2131,27.215,Huobi,0.0018999999999991246,2.5,0.0047499999999978115,169.86359024606458
1812,2021-08-20 01:30:23,27.2135,27.215,Huobi,0.0015000000000000568,0.41,0.0006150000000000233,169.86420524606459
1813,2021-08-20 01:30:24,27.22,27.2208,Binance,0.0008000000000016882,10.0,0.008000000000016882,169.8722052460646
1814,2021-08-20 01:30:37,27.2235,27.224,Huobi,0.0004999999999988347,0.378,0.00018899999999955953,169.8723942460646
1815,2021-08-20 01:30:38,27.2235,27.224,Huobi,0.0004999999999988347,0.74,0.0003699999999991377,169.8727642460646
1816,2021-08-20 01:30:45,27.2221,27.224,Huobi,0.0018999999999991246,0.33,0.0006269999999997111,169.8733912460646
1817,2021-08-20 01:31:01,27.192,27.1932,Binance,0.001200000000000756,3.08,0.0036960000000023285,169.8770872460646
1818,2021-08-20 01:31:06,27.219,27.2196,Binance,0.0005999999999986017,20.0,0.011999999999972033,169.88908724606458
1819,2021-08-20 01:31:07,27.216,27.2209,Binance,0.004899999999999238,30.0,0.14699999999997715,170.03608724606454
1820,2021-08-20 01:31:07,27.216,27.2196,Binance,0.0035999999999987153,10.0,0.03599999999998715,170.07208724606454
1821,2021-08-20 01:31:07,27.216,27.2168,Binance,0.0007999999999981355,36.0,0.02879999999993288,170.10088724606447
1822,2021-08-20 01:31:09,27.218,27.2213,Binance,0.0032999999999994145,1.0,0.0032999999999994145,170.10418724606447
1823,2021-08-20 01:31:10,27.2221,27.223,Huobi,0.0008999999999979025,0.405,0.00036449999999915055,170.10455174606446
1824,2021-08-20 01:31:16,27.2221,27.224,Huobi,0.0018999999999991246,33.308,0.06328519999997084,170.16783694606443
1825,2021-08-20 01:31:20,27.209,27.212,Binance,0.0030000000000001137,0.39,0.0011700000000000445,170.16900694606443
1826,2021-08-20 01:31:28,27.2221,27.224,Huobi,0.0018999999999991246,42.76,0.08124399999996257,170.2502509460644
1827,2021-08-20 01:31:32,27.232,27.2327,Binance,0.0007000000000019213,5.77,0.004039000000011086,170.2542899460644
1828,2021-08-20 01:31:41,27.227,27.2278,Binance,0.0007999999999981355,8.35,0.006679999999984431,170.2609699460644
1829,2021-08-20 01:31:47,27.229,27.2299,Binance,0.0009000000000014552,20.62,0.018558000000030005,170.27952794606443
1830,2021-08-20 01:32:23,27.1968,27.198,Huobi,0.001200000000000756,2.19,0.0026280000000016555,170.28215594606445
1831,2021-08-20 01:32:40,27.2056,27.206,Huobi,0.00039999999999906777,6.763,0.002705199999993695,170.28486114606443
1832,2021-08-20 01:33:48,27.196,27.1991,Binance,0.0030999999999998806,10.0,0.030999999999998806,170.31586114606444
1833,2021-08-20 01:34:00,27.1808,27.181,Huobi,0.00019999999999953388,0.409,8.179999999980935e-05,170.31594294606444
1834,2021-08-20 01:34:04,27.1714,27.172,Huobi,0.0006000000000021544,5.51,0.0033060000000118706,170.31924894606445
1835,2021-08-20 01:34:15,27.19,27.1905,Binance,0.0004999999999988347,7.710000000000001,0.0038549999999910162,170.32310394606444
1836,2021-08-20 01:34:15,27.19,27.1906,Binance,0.0005999999999986017,17.29,0.010373999999975823,170.33347794606442
1837,2021-08-20 01:34:17,27.19,27.1906,Binance,0.0005999999999986017,27.29,0.01637399999996184,170.34985194606438
1838,2021-08-20 01:34:18,27.19,27.1906,Binance,0.0005999999999986017,27.29,0.01637399999996184,170.36622594606433
1839,2021-08-20 01:35:37,27.188,27.1882,Binance,0.00019999999999953388,1.297,0.0002593999999993954,170.36648534606434
1840,2021-08-20 01:35:38,27.188,27.1938,Binance,0.0058000000000006935,1.297,0.007522600000000899,170.37400794606432
1841,2021-08-20 01:36:14,27.145,27.1502,Binance,0.005200000000002092,95.0,0.4940000000001987,170.86800794606452
